height,block,tx,mig1,mig2,ann,ns
1,18646,15720,0,0,0,0
2,28006,21007,0,0,0,0
3,46010,41009,0,0,0,0
4,93303,82309,0,0,0,0
5,61158,47604,0,0,0,0
6,67961,57430,0,0,0,0
7,66375,59373,0,0,0,0
8,74384,65233,0,0,0,0
9,62166,54417,0,0,0,0
10,67247,58987,0,0,0,0
11,66753,54009,0,0,0,0
12,64060,47029,0,0,0,0
13,78543,65924,0,0,0,0
14,61773,49771,0,0,0,0
15,75788,66567,0,0,0,0
16,70032,64327,0,0,0,0
17,72416,59860,0,0,0,0
18,67213,56950,0,0,0,0
19,72077,58855,0,0,0,0
20,57176,51175,0,0,0,0
21,59939,48496,0,0,0,0
22,53693,41659,1999,0,0,0
23,75389,34174,0,26534,0,0
24,56170,30081,0,12086,1999,0
25,62842,45457,0,0,0,0
26,63340,42271,0,0,0,0
27,47010,36007,0,0,0,0
28,80170,65544,0,0,0,0
29,30355,21347,0,0,0,0
30,29588,23090,0,0,0,0
31,21011,13994,0,0,0,0
32,41491,30488,0,0,0,0
33,23996,16993,0,0,0,0
34,29014,21007,0,0,0,0
35,23308,17300,0,0,0,0
36,9695,6030,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
