timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4058,1,100,53,47,0,53,1780066206058,0,0,0,0,0
6050,2,252,0,0,252,252,1780066208050,0,0,0,0,0
8061,3,314,91,114,109,200,1780066210061,0,0,0,0,0
10133,4,500,238,262,0,238,1780066212133,0,0,0,0,0
12109,5,500,118,132,250,368,1780066214109,0,0,0,0,0
14117,6,500,187,246,67,254,1780066216117,0,0,0,0,0
16101,7,500,196,217,87,283,1780066218101,0,0,0,0,0
18084,8,500,224,221,55,279,1780066220084,0,0,0,0,0
20112,9,500,189,229,82,271,1780066222112,0,0,0,0,0
22124,10,500,245,255,0,245,1780066224124,0,0,0,0,0
24104,11,500,216,220,64,280,1780066226104,0,0,0,0,0
26091,12,500,90,124,286,376,1780066228091,0,0,0,0,0
28133,13,500,220,229,51,271,1780066230133,0,0,0,0,0
30087,14,500,146,195,159,305,1780066232087,0,0,0,0,0
32091,15,500,146,167,187,333,1780066234091,0,0,0,0,0
34089,16,500,226,274,0,226,1780066236089,0,0,0,0,0
36088,17,500,194,218,88,282,1780066238088,0,0,0,0,0
38103,18,500,196,217,87,283,1780066240103,0,0,0,0,0
40116,19,500,156,182,162,318,1780066242116,0,0,0,0,0
42093,20,500,249,251,0,249,1780066244093,0,0,0,0,0
44089,21,500,160,199,141,301,1780066246089,0,0,0,0,0
46073,22,469,107,138,224,331,1780066248073,31,0,0,0,0
48114,23,200,71,121,8,79,1780066250114,0,300,0,0,1
50097,24,300,167,58,75,242,1780066252097,0,169,31,0,0
52084,25,500,21,12,467,488,1780066254084,0,0,0,0,0
54098,26,500,34,68,398,432,1780066256098,0,0,0,0,0
56079,27,500,2,0,498,500,1780066258079,0,0,0,0,0
58075,28,500,41,65,394,435,1780066260075,0,0,0,0,0
60049,29,332,0,0,332,332,1780066262049,0,0,0,0,0
62048,30,231,0,0,231,231,1780066264048,0,0,0,0,0
64066,31,168,0,0,168,168,1780066266066,0,0,0,0,0
66049,32,248,0,0,248,248,1780066268049,0,0,0,0,0
68324,33,219,0,0,219,219,1780066270324,0,0,0,0,0
70048,34,247,0,0,247,247,1780066272048,0,0,0,0,0
72036,35,243,0,0,243,243,1780066274036,0,0,0,0,0
74017,36,68,0,0,68,68,1780066276017,0,0,0,0,0
76013,37,0,0,0,0,0,1780066278013,0,0,0,0,0
78007,38,0,0,0,0,0,1780066280007,0,0,0,0,0
80019,39,0,0,0,0,0,1780066282019,0,0,0,0,0
82016,40,0,0,0,0,0,1780066284016,0,0,0,0,0
84013,41,0,0,0,0,0,1780066286013,0,0,0,0,0
