height,block,tx,mig1,mig2,ann,ns
1,81741,73740,0,0,0,0
2,31313,27311,0,0,0,0
3,62760,56758,0,0,0,0
4,78018,67012,0,0,0,0
5,68471,55466,0,0,0,0
6,40057,31057,0,0,0,0
7,50726,40707,0,0,0,0
8,53274,43071,0,0,0,0
9,65056,55053,0,0,0,0
10,63474,53084,0,0,0,0
11,58604,47606,0,0,0,0
12,70063,52030,0,0,0,0
13,79096,60190,0,0,0,0
14,76092,65085,0,0,0,0
15,66786,56784,0,0,0,0
16,53624,43471,0,0,0,0
17,64858,52543,0,0,0,0
18,58210,48972,0,0,0,0
19,81085,70862,0,0,0,0
20,56743,47731,0,0,0,0
21,52728,43720,0,0,0,0
22,56878,24154,19429,0,0,0
23,67764,39802,11515,2779,0,0
24,63483,52528,0,0,0,0
25,66640,26271,0,0,23132,0
26,61796,33665,0,0,9558,0
27,82961,72957,0,0,0,0
28,71538,64693,0,0,0,0
29,73375,67116,0,0,0,0
30,51603,46584,0,0,0,0
31,66150,59144,0,0,0,0
32,69677,59907,0,0,0,0
33,77402,71401,0,0,0,0
34,92020,84018,0,0,0,0
35,28576,24569,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,20,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
