shard,block_count,active_block_count,total_tx_total,total_tx_committed,avg_tx_committed_per_active_block,total_relay_tx,relay_ratio,total_locked_txs,locked_ratio,migration_block_count,avg_queue_len,max_queue_len,queue_len_auc,tx_count_for_latency,latency_mean,latency_p50,latency_p95,latency_p99,senlock_ratio,reclock_ratio,halflock_ratio,relaylock_ratio
S0,42,37,13989,9866,266.648649,9534,0.681535,4,0.000286,6,535.500000,1628,22491,9866,10305.718630,7991.000000,21759.000000,23888.000000,0.002027,0.022096,0.012771,0.000000
S1,42,37,15611,10134,273.891892,9666,0.619179,24,0.001537,6,1350.738095,4959,56731,10134,11146.308960,9964.000000,25756.000000,37879.000000,0.000789,0.028024,0.014604,0.000000
