blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,255,0,0,0,0,0
2,241,0,0,0,0,0
3,500,0,0,0,0,0
4,500,0,0,0,0,0
5,500,0,0,0,0,0
6,500,0,519,0,0,0
7,500,0,0,0,0,0
8,500,0,0,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,5001,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,532,0,0,0
15,500,0,0,0,0,0
16,500,0,0,0,0,0
17,500,0,0,0,0,0
18,500,0,0,0,0,0
19,500,0,0,0,0,0
20,500,0,0,0,0,0
21,500,0,0,0,0,0
22,488,12,4583,0,0,0
23,200,300,21380,0,0,0
24,326,174,13263,12,0,0
25,500,0,0,0,0,0
26,500,0,4955,0,0,0
27,461,39,7636,0,0,0
28,237,263,52647,0,0,0
29,500,0,0,0,0,0
30,500,0,0,0,0,0
31,500,0,0,0,0,0
32,500,0,0,0,0,0
33,500,0,0,0,0,0
34,500,0,0,0,0,0
35,389,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
