height,block,tx,mig1,mig2,ann,ns
1,54474,47855,0,0,0,0
2,32066,24419,0,0,0,0
3,88801,78139,0,0,0,0
4,72660,64982,0,0,0,0
5,72936,55213,0,0,0,0
6,69583,52554,0,0,0,0
7,71862,56335,0,0,0,0
8,63443,53445,0,0,0,0
9,66587,56001,0,0,0,0
10,66196,52087,0,0,0,0
11,65260,49757,0,0,0,0
12,61673,51566,0,0,0,0
13,61662,51487,0,0,0,0
14,87279,72019,0,0,0,0
15,91026,74361,0,0,0,0
16,55298,40287,0,0,0,0
17,53574,43254,0,0,0,0
18,62511,51622,0,0,0,0
19,80817,68779,0,0,0,0
20,54608,44871,0,0,0,0
21,64993,54995,0,0,0,0
22,59003,44794,0,0,0,0
23,55768,17300,0,22864,0,0
24,55012,30013,0,15000,0,0
25,65016,50001,0,0,0,0
26,81655,69734,0,0,0,0
27,76031,62749,0,0,0,4745
28,56668,29698,0,0,0,16753
29,56422,49086,0,0,0,0
30,65316,54988,0,0,0,0
31,86936,80372,0,0,0,0
32,61813,48624,0,0,0,0
33,63351,54835,0,0,0,0
34,74196,59199,0,0,0,0
35,37135,27122,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
