timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4109,1,255,150,105,0,150,1780066631109,0,0,0,0,0
6066,2,241,0,0,241,241,1780066633066,0,0,0,0,0
8121,3,500,241,259,0,241,1780066635121,0,0,0,0,0
10120,4,500,233,243,24,257,1780066637120,0,0,0,0,0
12115,5,500,254,170,76,330,1780066639115,0,0,0,0,0
14095,6,500,174,186,140,314,1780066641095,0,0,0,0,0
16115,7,500,198,177,125,323,1780066643115,0,0,0,0,0
18110,8,500,161,115,224,385,1780066645110,0,0,0,0,0
20103,9,500,164,123,213,377,1780066647103,0,0,0,0,0
22094,10,500,170,160,170,340,1780066649094,0,0,0,0,0
24102,11,500,93,77,330,423,1780066651102,0,0,0,0,0
26095,12,500,218,191,91,309,1780066653095,0,0,0,0,0
28082,13,500,128,156,216,344,1780066655082,0,0,0,0,0
30104,14,500,259,241,0,259,1780066657104,0,0,0,0,0
32094,15,500,163,125,212,375,1780066659094,0,0,0,0,0
34085,16,500,84,100,316,400,1780066661085,0,0,0,0,0
36088,17,500,144,108,248,392,1780066663088,0,0,0,0,0
38107,18,500,136,117,247,383,1780066665107,0,0,0,0,0
40094,19,500,268,232,0,268,1780066667094,0,0,0,0,0
42102,20,500,157,140,203,360,1780066669102,0,0,0,0,0
44101,21,500,244,256,0,244,1780066671101,0,0,0,0,0
46096,22,488,178,154,156,334,1780066673096,12,0,0,0,0
48118,23,200,95,105,0,95,1780066675118,0,300,0,0,0
50105,24,326,187,139,0,187,1780066677105,0,162,12,0,0
52092,25,500,150,104,246,396,1780066679092,0,0,0,0,0
54103,26,500,277,223,0,277,1780066681103,0,0,0,0,0
56093,27,461,131,132,198,329,1780066683093,0,0,0,39,0
58205,28,237,116,121,0,116,1780066685205,0,0,0,263,0
60088,29,500,182,213,105,287,1780066687088,0,0,0,0,0
62105,30,500,199,204,97,296,1780066689105,0,0,0,0,0
64114,31,500,264,234,2,266,1780066691114,0,0,0,0,0
66109,32,500,233,221,46,279,1780066693109,0,0,0,0,0
68092,33,500,218,241,41,259,1780066695092,0,0,0,0,0
70102,34,500,231,212,57,288,1780066697102,0,0,0,0,0
72061,35,389,17,6,366,383,1780066699061,0,0,0,0,0
74026,36,0,0,0,0,0,1780066701026,0,0,0,0,0
76021,37,0,0,0,0,0,1780066703021,0,0,0,0,0
78019,38,0,0,0,0,0,1780066705019,0,0,0,0,0
80009,39,0,0,0,0,0,1780066707009,0,0,0,0,0
82020,40,0,0,0,0,0,1780066709020,0,0,0,0,0
84023,41,0,0,0,0,0,1780066711023,0,0,0,0,0
