height,block,tx,mig1,mig2,ann,ns
1,101730,91730,0,0,0,0
2,19207,16980,0,0,0,0
3,23348,18899,0,0,0,0
4,56336,46157,0,0,0,0
5,78706,65405,0,0,0,0
6,62432,51485,0,0,0,0
7,83448,67952,0,0,0,0
8,65522,55942,0,0,0,0
9,78972,71891,0,0,0,0
10,68465,56118,0,0,0,0
11,77771,68293,0,0,0,0
12,57697,50461,0,0,0,0
13,76360,67407,0,0,0,0
14,62461,46954,0,0,0,0
15,118870,96560,0,0,0,0
16,85753,75211,0,0,0,0
17,73850,64370,0,0,0,0
18,72818,59468,0,0,0,0
19,76371,71337,0,0,0,0
20,74099,62085,0,0,0,0
21,69969,54969,0,0,0,0
22,58933,20379,25905,0,0,0
23,52072,25010,5002,0,0,0
24,65016,55016,0,0,0,0
25,55179,21455,0,0,18661,0
26,57934,37931,0,0,9987,0
27,83956,75024,0,0,0,0
28,74578,61127,0,0,0,0
29,20612,15788,0,0,0,0
30,25509,15237,0,0,0,0
31,25345,15000,0,0,0,0
32,41132,29398,0,0,0,0
33,20650,15248,0,0,0,0
34,31186,20478,0,0,0,0
35,26029,15007,0,0,0,0
36,1589,1075,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
