timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4162,1,500,259,241,0,259,1780066631162,0,0,0,0,0
6053,2,150,21,24,105,126,1780066633053,0,0,0,0,0
8049,3,148,72,76,0,72,1780066635049,0,0,0,0,0
10106,4,500,102,140,258,360,1780066637106,0,0,0,0,0
12120,5,500,241,258,1,242,1780066639120,0,0,0,0,0
14095,6,500,85,91,324,409,1780066641095,0,0,0,0,0
16113,7,500,198,213,89,287,1780066643113,0,0,0,0,0
18105,8,500,145,169,186,331,1780066645105,0,0,0,0,0
20113,9,500,226,269,5,231,1780066647113,0,0,0,0,0
22088,10,500,175,153,172,347,1780066649088,0,0,0,0,0
24110,11,500,169,216,115,284,1780066651110,0,0,0,0,0
26099,12,500,180,197,123,303,1780066653099,0,0,0,0,0
28082,13,500,230,270,0,230,1780066655082,0,0,0,0,0
30099,14,500,172,168,160,332,1780066657099,0,0,0,0,0
32094,15,500,91,141,268,359,1780066659094,0,0,0,0,0
34103,16,500,227,247,26,253,1780066661103,0,0,0,0,0
36088,17,500,167,203,130,297,1780066663088,0,0,0,0,0
38104,18,500,103,156,241,344,1780066665104,0,0,0,0,0
40094,19,500,246,254,0,246,1780066667094,0,0,0,0,0
42094,20,500,175,200,125,300,1780066669094,0,0,0,0,0
44094,21,500,124,168,208,332,1780066671094,0,0,0,0,0
46090,22,200,21,34,145,166,1780066673090,300,0,0,0,0
48063,23,326,11,2,313,324,1780066675063,162,12,0,0,8
50085,24,500,16,46,438,454,1780066677085,0,0,0,0,11
52132,25,200,51,41,108,159,1780066679132,0,0,300,0,6
54109,26,338,176,162,0,176,1780066681109,0,0,162,0,0
56088,27,500,153,198,149,302,1780066683088,0,0,0,0,0
58099,28,500,57,63,380,437,1780066685099,0,0,0,0,0
60043,29,200,0,0,200,200,1780066687043,0,0,0,0,0
62052,30,213,0,0,213,213,1780066689052,0,0,0,0,0
64053,31,204,0,0,204,204,1780066691053,0,0,0,0,0
66059,32,234,0,0,234,234,1780066693059,0,0,0,0,0
68035,33,221,0,0,221,221,1780066695035,0,0,0,0,0
70054,34,241,0,0,241,241,1780066697054,0,0,0,0,0
72042,35,212,0,0,212,212,1780066699042,0,0,0,0,0
74027,36,6,0,0,6,6,1780066701027,0,0,0,0,0
76021,37,0,0,0,0,0,1780066703021,0,0,0,0,0
78020,38,0,0,0,0,0,1780066705020,0,0,0,0,0
80009,39,0,0,0,0,0,1780066707009,0,0,0,0,0
82020,40,0,0,0,0,0,1780066709020,0,0,0,0,0
84022,41,0,0,0,0,0,1780066711022,0,0,0,0,0
