block,queueLen
1,0
2,0
3,176
4,310
5,188
6,633
7,404
8,317
9,182
10,268
11,91
12,388
13,769
14,755
15,607
16,476
17,499
18,944
19,1352
20,1873
21,2352
22,2797
23,3401
24,3417
25,3366
26,3641
27,3350
28,3326
29,2889
30,2389
31,1889
32,1389
33,889
34,389
35,0
36,0
37,0
38,0
39,0
40,0
41,0
