height,block,tx,mig1,mig2,ann,ns
1,51370,42120,0,0,0,0
2,25754,15788,0,0,0,0
3,47876,40519,0,0,0,0
4,47547,37561,0,0,0,0
5,53214,37908,0,0,0,0
6,37217,30249,0,0,0,0
7,72725,62359,0,0,0,0
8,64900,54910,0,0,0,0
9,86438,71111,0,0,0,0
10,65310,56747,0,0,0,0
11,68708,53705,0,0,0,0
12,71382,58708,0,0,0,0
13,68952,59315,0,0,0,0
14,82627,70871,0,0,0,0
15,83492,68492,0,0,0,0
16,64989,55159,0,0,0,0
17,75909,64699,0,0,0,0
18,64986,49988,0,0,0,0
19,55179,45012,0,0,0,0
20,84744,75302,0,0,0,0
21,87077,71471,0,0,0,0
22,56531,22330,20575,0,0,0
23,57260,14999,5001,19992,0,0
24,78352,24850,0,33485,0,0
25,57407,42557,0,0,3797,0
26,82518,34547,0,0,34741,0
27,87095,68014,0,0,0,9691
28,93522,52989,0,0,0,24822
29,70225,59927,0,0,0,0
30,76090,70754,0,0,0,0
31,82852,72699,0,0,0,0
32,91536,81179,0,0,0,0
33,84498,73698,0,0,0,0
34,88671,77713,0,0,0,0
35,90160,79474,0,0,0,0
36,79001,67523,0,0,0,0
37,13503,9333,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
