block,queueLen
1,0
2,0
3,0
4,0
5,0
6,0
7,130
8,601
9,837
10,835
11,1024
12,950
13,757
14,775
15,781
16,785
17,837
18,1127
19,1435
20,1343
21,1856
22,2557
23,3177
24,3793
25,4202
26,4917
27,4325
28,4147
29,3648
30,3149
31,2649
32,2149
33,1649
34,1149
35,649
36,149
37,0
38,0
39,0
40,0
41,0
42,0
