blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,500,0,0,0,0,0
2,175,0,0,0,0,0
3,500,0,0,0,0,0
4,500,0,0,0,0,0
5,500,0,0,0,0,0
6,500,0,0,0,0,0
7,500,0,531,0,0,0
8,500,0,0,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,0,0,0,0
17,500,0,0,0,0,0
18,500,0,0,0,0,0
19,500,0,539,0,0,0
20,500,0,0,0,0,0
21,500,0,0,0,0,0
22,200,300,7618,0,0,0
23,200,300,10304,0,0,0
24,200,300,22616,1,535,535
25,281,219,22466,219,0,0
26,200,300,36659,299,0,528
27,468,32,4114,0,0,0
28,367,133,31096,0,0,0
29,278,0,17,0,0,0
30,208,0,0,0,0,0
31,199,0,0,0,0,0
32,207,0,0,0,0,0
33,238,0,0,0,0,0
34,229,0,0,0,0,0
35,259,0,0,0,0,0
36,203,0,0,0,0,0
37,167,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
