timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4167,1,500,274,226,0,274,1780066411167,0,0,0,0,0
6053,2,175,18,13,144,162,1780066413053,0,0,0,0,0
8116,3,500,284,216,0,284,1780066415116,0,0,0,0,0
10118,4,500,267,233,0,267,1780066417118,0,0,0,0,0
12090,5,500,156,151,193,349,1780066419090,0,0,0,0,0
14101,6,500,242,239,19,261,1780066421101,0,0,0,0,0
16111,7,500,202,226,72,274,1780066423111,0,0,0,0,0
18103,8,500,214,214,72,286,1780066425103,0,0,0,0,0
20104,9,500,144,105,251,395,1780066427104,0,0,0,0,0
22092,10,500,129,166,205,334,1780066429092,0,0,0,0,0
24112,11,500,213,177,110,323,1780066431112,0,0,0,0,0
26101,12,500,137,140,223,360,1780066433101,0,0,0,0,0
28098,13,500,239,207,54,293,1780066435098,0,0,0,0,0
30091,14,500,191,202,107,298,1780066437091,0,0,0,0,0
32107,15,500,173,172,155,328,1780066439107,0,0,0,0,0
34094,16,500,219,241,40,259,1780066441094,0,0,0,0,0
36090,17,500,169,156,175,344,1780066443090,0,0,0,0,0
38090,18,500,164,175,161,325,1780066445090,0,0,0,0,0
40075,19,500,178,163,159,337,1780066447075,0,0,0,0,0
42095,20,500,217,260,23,240,1780066449095,0,0,0,0,0
44089,21,500,108,126,266,374,1780066451089,0,0,0,0,0
46076,22,200,49,50,101,150,1780066453076,300,0,0,0,0
48088,23,200,108,35,57,165,1780066455088,219,81,0,0,1
50123,24,200,143,57,0,143,1780066457123,0,299,1,0,3
52104,25,281,136,67,78,214,1780066459104,0,0,219,0,0
54119,26,200,25,10,165,190,1780066461119,0,0,299,1,0
56096,27,468,45,94,329,374,1780066463096,0,0,0,32,0
58139,28,367,5,1,361,366,1780066465139,0,0,0,133,0
60049,29,278,6,1,271,277,1780066467049,0,0,0,0,0
62046,30,208,0,0,208,208,1780066469046,0,0,0,0,0
64050,31,199,0,0,199,199,1780066471050,0,0,0,0,0
66034,32,207,0,0,207,207,1780066473034,0,0,0,0,0
68045,33,238,0,0,238,238,1780066475045,0,0,0,0,0
70051,34,229,0,0,229,229,1780066477051,0,0,0,0,0
72054,35,259,0,0,259,259,1780066479054,0,0,0,0,0
74035,36,203,0,0,203,203,1780066481035,0,0,0,0,0
76042,37,167,0,0,167,167,1780066483042,0,0,0,0,0
78014,38,0,0,0,0,0,1780066485014,0,0,0,0,0
80024,39,0,0,0,0,0,1780066487024,0,0,0,0,0
82022,40,0,0,0,0,0,1780066489022,0,0,0,0,0
84010,41,0,0,0,0,0,1780066491010,0,0,0,0,0
86016,42,0,0,0,0,0,1780066493016,0,0,0,0,0
