height,block,tx,mig1,mig2,ann,ns
1,101386,91245,0,0,0,0
2,11505,8896,0,0,0,0
3,74309,67154,0,0,0,0
4,67347,53176,0,0,0,0
5,51023,41744,0,0,0,0
6,61771,50107,0,0,0,0
7,84040,62992,0,0,0,0
8,71949,59698,0,0,0,0
9,62254,50785,0,0,0,0
10,81037,66962,0,0,0,0
11,79766,62694,0,0,0,0
12,70914,58396,0,0,0,0
13,72912,53232,0,0,0,0
14,62767,52744,0,0,0,0
15,34368,24365,0,0,0,0
16,45227,34997,0,0,0,0
17,21519,11876,0,0,0,0
18,38518,25575,0,0,0,0
19,20553,10572,0,0,0,0
20,79373,63603,0,0,0,0
21,78002,68864,0,0,0,0
22,58210,20961,19986,0,0,0
23,64901,31174,10872,5018,0,0
24,76273,65653,0,0,0,0
25,51496,15834,0,0,17729,0
26,49780,30022,0,0,9997,0
27,88505,77130,0,0,0,0
28,93037,76901,0,0,0,0
29,82375,72436,0,0,0,0
30,99436,85209,0,0,0,0
31,86177,79081,0,0,0,0
32,82223,68783,0,0,0,0
33,64807,51726,0,0,0,0
34,27480,21355,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
