height,block,tx,mig1,mig2,ann,ns
1,48035,40725,0,0,0,0
2,23033,14907,0,0,0,0
3,49006,44019,0,0,0,0
4,55993,45838,0,0,0,0
5,68581,60185,0,0,0,0
6,61813,51171,0,0,0,0
7,72267,59721,0,0,0,0
8,63972,54800,0,0,0,0
9,62781,52879,0,0,0,0
10,68565,58647,0,0,0,0
11,73470,62694,0,0,0,0
12,61007,50520,0,0,0,0
13,81373,62015,0,0,0,0
14,84571,72743,0,0,0,0
15,95598,84552,0,0,0,0
16,71895,61243,0,0,0,0
17,86319,81313,0,0,0,0
18,90321,78928,0,0,0,0
19,80525,70526,0,0,0,0
20,87095,76291,0,0,0,0
21,78182,67945,0,0,0,0
22,85354,72996,5116,0,0,0
23,83314,32643,0,31355,0,0
24,58584,28273,0,14711,5061,0
25,83634,71181,0,0,0,0
26,66500,56729,0,0,0,0
27,58482,38495,0,0,0,8898
28,109637,93037,0,0,0,0
29,81016,68858,0,0,0,0
30,85770,65221,0,0,0,0
31,78172,65403,0,0,0,0
32,65822,50316,0,0,0,0
33,48905,34954,0,0,0,0
34,41210,31725,0,0,0,0
35,0,0,0,0,0,0
36,552,0,5,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
