block,queueLen
1,1
2,0
3,0
4,244
5,74
6,106
7,313
8,513
9,774
10,800
11,976
12,677
13,321
14,91
15,0
16,0
17,0
18,0
19,0
20,61
21,372
22,1004
23,1629
24,1836
25,2503
26,3010
27,2677
28,2313
29,1956
30,1557
31,1162
32,728
33,233
34,0
35,0
36,0
37,0
38,0
39,0
