timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4114,1,255,150,105,0,150,1780065983114,0,0,0,0,0
6052,2,241,0,0,241,241,1780065985052,0,0,0,0,0
8105,3,500,241,259,0,241,1780065987105,0,0,0,0,0
10112,4,500,233,243,24,257,1780065989112,0,0,0,0,0
12110,5,500,254,170,76,330,1780065991110,0,0,0,0,0
14082,6,500,174,186,140,314,1780065993082,0,0,0,0,0
16107,7,500,198,177,125,323,1780065995107,0,0,0,0,0
18090,8,500,161,115,224,385,1780065997090,0,0,0,0,0
20093,9,500,164,123,213,377,1780065999093,0,0,0,0,0
22098,10,500,170,160,170,340,1780066001098,0,0,0,0,0
24088,11,500,93,77,330,423,1780066003088,0,0,0,0,0
26084,12,500,218,191,91,309,1780066005084,0,0,0,0,0
28088,13,500,128,156,216,344,1780066007088,0,0,0,0,0
30099,14,500,259,241,0,259,1780066009099,0,0,0,0,0
32097,15,500,163,125,212,375,1780066011097,0,0,0,0,0
34086,16,500,84,100,316,400,1780066013086,0,0,0,0,0
36074,17,500,144,108,248,392,1780066015074,0,0,0,0,0
38091,18,500,136,117,247,383,1780066017091,0,0,0,0,0
40090,19,500,268,232,0,268,1780066019090,0,0,0,0,0
42087,20,500,157,140,203,360,1780066021087,0,0,0,0,0
44093,21,500,244,256,0,244,1780066023093,0,0,0,0,0
46090,22,488,178,154,156,334,1780066025090,12,0,0,0,0
48106,23,200,95,105,0,95,1780066027106,0,300,0,0,0
50102,24,326,187,139,0,187,1780066029102,0,162,12,0,0
52078,25,500,150,104,246,396,1780066031078,0,0,0,0,0
54106,26,500,277,223,0,277,1780066033106,0,0,0,0,0
56088,27,500,156,146,198,354,1780066035088,0,0,0,0,0
58101,28,500,226,274,0,226,1780066037101,0,0,0,0,0
60185,29,500,151,147,202,353,1780066039185,0,0,0,0,0
62102,30,500,257,243,0,257,1780066041102,0,0,0,0,0
64087,31,500,248,223,29,277,1780066043087,0,0,0,0,0
66080,32,500,169,182,149,318,1780066045080,0,0,0,0,0
68097,33,500,95,103,302,397,1780066047097,0,0,0,0,0
70115,34,500,255,245,0,255,1780066049115,0,0,0,0,0
72065,35,360,33,21,306,339,1780066051065,0,0,0,0,0
74006,36,0,0,0,0,0,1780066053006,0,0,0,0,0
76015,37,0,0,0,0,0,1780066055015,0,0,0,0,0
78011,38,0,0,0,0,0,1780066057011,0,0,0,0,0
80020,39,0,0,0,0,0,1780066059020,0,0,0,0,0
82010,40,0,0,0,0,0,1780066061010,0,0,0,0,0
