height,block,tx,mig1,mig2,ann,ns
1,85422,78424,0,0,0,0
2,24188,19678,0,0,0,0
3,27352,23352,0,0,0,0
4,63651,50015,0,0,0,0
5,65850,56859,0,0,0,0
6,59390,47829,0,0,0,0
7,70879,63875,0,0,0,0
8,62797,52803,0,0,0,0
9,67079,57666,0,0,0,0
10,62184,51339,0,0,0,0
11,64181,57294,0,0,0,0
12,90267,74749,0,0,0,0
13,66503,56592,0,0,0,0
14,57802,46193,0,0,0,0
15,77533,66533,0,0,0,0
16,72673,63541,0,0,0,0
17,78334,67485,0,0,0,0
18,66630,57512,0,0,0,0
19,74639,66132,0,0,0,0
20,65801,58386,0,0,0,0
21,51919,42950,0,0,0,0
22,46399,15995,19034,0,0,0
23,46459,22005,10014,1000,0,0
24,68634,54599,0,0,0,0
25,54188,22164,0,0,18325,0
26,53911,33863,0,0,9516,0
27,66546,58520,0,0,0,0
28,46244,35862,0,0,0,0
29,61409,35434,0,0,0,0
30,14982,9983,0,0,0,0
31,23995,18011,0,0,0,0
32,18006,13004,0,0,0,0
33,21042,15011,0,0,0,0
34,12072,8037,0,0,0,0
35,25996,18003,0,0,0,0
36,2874,1783,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
