timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4167,1,500,259,241,0,259,1780065983167,0,0,0,0,0
6037,2,150,21,24,105,126,1780065985037,0,0,0,0,0
8043,3,148,72,76,0,72,1780065987043,0,0,0,0,0
10097,4,500,102,140,258,360,1780065989097,0,0,0,0,0
12114,5,500,241,258,1,242,1780065991114,0,0,0,0,0
14078,6,500,85,91,324,409,1780065993078,0,0,0,0,0
16101,7,500,198,213,89,287,1780065995101,0,0,0,0,0
18097,8,500,145,169,186,331,1780065997097,0,0,0,0,0
20099,9,500,226,269,5,231,1780065999099,0,0,0,0,0
22091,10,500,175,153,172,347,1780066001091,0,0,0,0,0
24091,11,500,169,216,115,284,1780066003091,0,0,0,0,0
26077,12,500,180,197,123,303,1780066005077,0,0,0,0,0
28104,13,500,230,270,0,230,1780066007104,0,0,0,0,0
30087,14,500,172,168,160,332,1780066009087,0,0,0,0,0
32102,15,500,91,141,268,359,1780066011102,0,0,0,0,0
34088,16,500,227,247,26,253,1780066013088,0,0,0,0,0
36072,17,500,167,203,130,297,1780066015072,0,0,0,0,0
38089,18,500,103,156,241,344,1780066017089,0,0,0,0,0
40089,19,500,246,254,0,246,1780066019089,0,0,0,0,0
42083,20,500,175,200,125,300,1780066021083,0,0,0,0,0
44078,21,500,124,168,208,332,1780066023078,0,0,0,0,0
46076,22,200,21,34,145,166,1780066025076,300,0,0,0,0
48071,23,326,19,29,278,297,1780066027071,162,12,0,0,259
50096,24,500,101,89,310,411,1780066029096,0,0,0,0,288
52108,25,200,101,99,0,101,1780066031108,0,0,300,0,17
54089,26,338,147,181,10,157,1780066033089,0,0,162,0,0
56077,27,500,94,117,289,383,1780066035077,0,0,0,0,0
58051,28,323,0,0,323,323,1780066037051,0,0,0,0,0
60096,29,274,0,0,274,274,1780066039096,0,0,0,0,0
62035,30,147,0,0,147,147,1780066041035,0,0,0,0,0
64051,31,243,0,0,243,243,1780066043051,0,0,0,0,0
66033,32,223,0,0,223,223,1780066045033,0,0,0,0,0
68040,33,182,0,0,182,182,1780066047040,0,0,0,0,0
70045,34,103,0,0,103,103,1780066049045,0,0,0,0,0
72049,35,245,0,0,245,245,1780066051049,0,0,0,0,0
74010,36,21,0,0,21,21,1780066053010,0,0,0,0,0
76020,37,0,0,0,0,0,1780066055020,0,0,0,0,0
78010,38,0,0,0,0,0,1780066057010,0,0,0,0,0
80022,39,0,0,0,0,0,1780066059022,0,0,0,0,0
82011,40,0,0,0,0,0,1780066061011,0,0,0,0,0
84002,41,0,0,0,0,0,1780066063002,0,0,0,0,0
