blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,500,0,0,0,0,0
2,150,0,0,0,0,0
3,148,0,0,0,0,0
4,500,0,524,0,0,0
5,500,0,0,0,0,0
6,500,0,0,0,0,0
7,500,0,0,0,0,0
8,500,0,0,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,521,0,0,0
17,500,0,512,0,0,0
18,500,0,0,0,0,0
19,500,0,0,0,0,0
20,500,0,0,0,0,0
21,500,0,0,0,0,0
22,200,300,5266,0,0,0
23,326,174,2989,0,0,0
24,500,0,0,0,0,0
25,200,300,28004,300,0,1002
26,338,162,16404,162,564,564
27,500,0,0,0,0,0
28,323,0,0,0,0,0
29,274,0,530,0,0,0
30,147,0,0,0,0,0
31,243,0,0,0,0,0
32,223,0,0,0,0,0
33,182,0,0,0,0,0
34,103,0,0,0,0,0
35,245,0,0,0,0,0
36,21,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,28,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
