height,block,tx,mig1,mig2,ann,ns
1,47631,41629,0,0,0,0
2,25771,20770,0,0,0,0
3,85620,80111,0,0,0,0
4,75281,65744,0,0,0,0
5,67862,57847,0,0,0,0
6,62197,53394,0,0,0,0
7,80322,68879,0,0,0,0
8,61792,52263,0,0,0,0
9,60634,48749,0,0,0,0
10,64806,52199,0,0,0,0
11,59293,49295,0,0,0,0
12,103595,88580,0,0,0,0
13,54837,44445,0,0,0,0
14,83575,73017,0,0,0,0
15,78535,68530,0,0,0,0
16,61897,53578,0,0,0,0
17,73152,60063,0,0,0,0
18,67645,55522,0,0,0,0
19,82495,73431,0,0,0,0
20,72288,61802,0,0,0,0
21,87602,79526,0,0,0,0
22,67610,58161,1025,0,0,0
23,70983,27960,0,30522,0,0
24,72715,44458,0,15564,0,0
25,66091,52801,0,0,0,0
26,83717,78862,0,0,0,0
27,70464,60393,0,0,0,0
28,74547,69543,0,0,0,0
29,90278,82272,0,0,0,0
30,79522,72517,0,0,0,0
31,73905,66903,0,0,0,0
32,68406,61404,0,0,0,0
33,72017,61013,0,0,0,0
34,85645,73801,0,0,0,0
35,39898,31897,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
