block,queueLen
1,108
2,0
3,147
4,376
5,495
6,780
7,979
8,979
9,1235
10,1083
11,1048
12,1224
13,1506
14,1743
15,2029
16,2248
17,2105
18,2172
19,1917
20,1662
21,2040
22,2562
23,3083
24,3636
25,3951
26,4224
27,3867
28,3644
29,3255
30,2909
31,2496
32,1996
33,1496
34,996
35,496
36,0
37,0
38,0
39,0
40,0
41,0
42,0
