height,block,tx,mig1,mig2,ann,ns
1,97575,91424,0,0,0,0
2,22248,16637,0,0,0,0
3,65308,61773,0,0,0,0
4,75519,65361,0,0,0,0
5,71968,58243,0,0,0,0
6,66807,56517,0,0,0,0
7,73544,63559,0,0,0,0
8,71656,56653,0,0,0,0
9,75814,65177,0,0,0,0
10,70615,55684,0,0,0,0
11,79731,66684,0,0,0,0
12,73474,63481,0,0,0,0
13,63267,50625,0,0,0,0
14,73470,59370,0,0,0,0
15,96368,86708,0,0,0,0
16,88149,73156,0,0,0,0
17,65723,55735,0,0,0,0
18,70002,60357,0,0,0,0
19,54746,50372,0,0,0,0
20,66803,56834,0,0,0,0
21,61587,51853,0,0,0,0
22,47591,16326,17978,0,0,0
23,70866,25008,15673,15005,0,0
24,58779,19423,0,21747,0,0
25,42543,10687,0,15523,5632,0
26,46945,22458,0,0,7300,6658
27,63687,31298,0,0,16619,0
28,76368,51021,0,0,0,10021
29,74573,58846,0,0,0,0
30,87502,70291,0,0,0,0
31,74306,64152,0,0,0,0
32,63886,53883,0,0,0,0
33,71697,51684,0,0,0,0
34,83354,67552,0,0,0,0
35,53635,42970,0,0,0,0
36,48128,32614,0,0,0,0
37,522,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
