height,block,tx,mig1,mig2,ann,ns
1,43487,41213,0,0,0,0
2,27692,22531,0,0,0,0
3,31761,21088,0,0,0,0
4,57099,41586,0,0,0,0
5,66947,52433,0,0,0,0
6,44630,32569,0,0,0,0
7,64021,53425,0,0,0,0
8,71656,61653,0,0,0,0
9,65007,50003,0,0,0,0
10,84324,67593,0,0,0,0
11,67716,52715,0,0,0,0
12,68258,51660,0,0,0,0
13,74533,58266,0,0,0,0
14,80709,66902,0,0,0,0
15,69036,54042,0,0,0,0
16,55001,44997,0,0,0,0
17,70722,60723,0,0,0,0
18,65771,55001,0,0,0,0
19,62185,49739,0,0,0,0
20,71803,61802,0,0,0,0
21,64381,49648,0,0,0,0
22,59052,22883,18537,0,0,0
23,54990,25170,19819,0,0,0
24,51167,20568,0,16575,0,0
25,47541,15859,0,10512,10469,0
26,40914,16502,0,0,15794,0
27,57679,31910,0,0,15770,0
28,73931,54661,0,0,0,0
29,73571,59297,0,0,0,0
30,77592,60286,0,0,0,0
31,38669,27860,0,0,0,0
32,21125,15113,0,0,0,0
33,19271,14098,0,0,0,0
34,18948,10282,0,0,0,0
35,22565,15360,0,0,0,0
36,11735,8515,0,0,0,0
37,1048,1048,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
