blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,192,0,0,0,0,0
2,289,0,0,0,0,0
3,210,0,0,0,0,0
4,405,0,0,0,0,0
5,480,0,0,0,0,0
6,384,0,0,0,0,0
7,406,0,0,0,0,0
8,500,0,508,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,0,0,0,0
17,500,0,0,0,0,0
18,500,0,0,0,0,0
19,500,0,123,0,0,0
20,500,0,0,0,0,0
21,500,0,0,0,0,0
22,200,300,7639,0,0,0
23,200,300,5140,0,0,0
24,200,300,20065,0,0,0
25,200,300,38079,124,0,0
26,200,300,33595,300,1706,2222
27,261,239,30504,224,0,0
28,495,5,524,0,0,0
29,500,0,527,0,0,0
30,500,0,0,0,0,0
31,430,0,0,0,0,0
32,198,0,0,0,0,0
33,205,0,0,0,0,0
34,134,0,0,0,0,0
35,177,0,0,0,0,0
36,116,0,0,0,0,0
37,7,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,527,0,0,0
42,0,0,0,0,0,0
