block,queueLen
1,0
2,0
3,0
4,0
5,345
6,449
7,327
8,293
9,218
10,333
11,350
12,760
13,1199
14,1642
15,1962
16,2200
17,2545
18,2838
19,3117
20,3101
21,2994
22,2915
23,2889
24,2907
25,2646
26,2571
27,2291
28,1898
29,1676
30,1403
31,1086
32,857
33,404
34,0
35,0
36,0
37,0
38,0
39,0
