height,block,tx,mig1,mig2,ann,ns
1,79697,70419,0,0,0,0
2,9483,7939,0,0,0,0
3,75809,64776,0,0,0,0
4,46707,39195,0,0,0,0
5,25039,21979,0,0,0,0
6,41513,33539,0,0,0,0
7,45048,35027,0,0,0,0
8,43136,35319,0,0,0,0
9,43155,34635,0,0,0,0
10,47078,40792,0,0,0,0
11,44728,36189,0,0,0,0
12,38913,29920,0,0,0,0
13,45754,35576,0,0,0,0
14,51360,38283,0,0,0,0
15,18999,12996,0,0,0,0
16,24011,16010,0,0,0,0
17,28992,20962,0,0,0,0
18,27271,20269,0,0,0,0
19,22007,15013,0,0,0,0
20,65651,50758,0,0,0,0
21,61683,54164,0,0,0,0
22,45517,18500,16002,0,0,0
23,61288,34118,8408,6600,0,0
24,73553,62550,0,0,0,0
25,56706,25174,0,0,17381,0
26,62855,40883,0,0,9010,0
27,81753,69776,0,0,0,0
28,80535,72188,0,0,0,0
29,70406,62070,0,0,0,0
30,123749,112715,0,0,0,0
31,60156,53152,0,0,0,0
32,51050,44317,0,0,0,0
33,35377,24267,0,0,0,0
34,5649,3648,0,0,0,0
35,135,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
