height,block,tx,mig1,mig2,ann,ns
1,41377,33860,0,0,0,0
2,13233,8915,0,0,0,0
3,57530,44517,0,0,0,0
4,41195,34192,0,0,0,0
5,46717,41054,0,0,0,0
6,40619,33590,0,0,0,0
7,43014,33992,0,0,0,0
8,42142,35317,0,0,0,0
9,46121,38119,0,0,0,0
10,44897,36110,0,0,0,0
11,42965,31636,0,0,0,0
12,37437,28909,0,0,0,0
13,53794,43946,0,0,0,0
14,79783,70404,0,0,0,0
15,54781,51052,0,0,0,0
16,47822,38820,0,0,0,0
17,65411,56270,0,0,0,0
18,50535,42534,0,0,0,0
19,57293,48293,0,0,0,0
20,67752,57673,0,0,0,0
21,61155,52639,0,0,0,0
22,80245,58727,5512,0,0,0
23,57783,21088,0,24251,0,0
24,63407,34513,0,13381,2519,0
25,65848,56713,0,0,0,0
26,66532,56526,0,0,0,0
27,67693,54962,0,0,0,0
28,74880,66354,0,0,0,0
29,62860,49291,0,0,0,0
30,97201,80705,0,0,0,0
31,52391,42391,0,0,0,0
32,54870,39701,0,0,0,0
33,30422,22688,0,0,0,0
34,38659,28653,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,17,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
