timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4095,1,299,103,196,0,103,1780065876095,0,0,0,0,0
6020,2,185,0,0,185,185,1780065878020,0,0,0,0,0
8069,3,329,97,231,1,98,1780065880069,0,0,0,0,0
10057,4,436,121,166,149,270,1780065882057,0,0,0,0,0
12071,5,500,241,259,0,241,1780065884071,0,0,0,0,0
14058,6,500,148,143,209,357,1780065886058,0,0,0,0,0
16056,7,500,239,184,77,316,1780065888056,0,0,0,0,0
18073,8,500,161,197,142,303,1780065890073,0,0,0,0,0
20064,9,500,157,161,182,339,1780065892064,0,0,0,0,0
22057,10,500,159,152,189,348,1780065894057,0,0,0,0,0
24050,11,500,157,163,180,337,1780065896050,0,0,0,0,0
26066,12,500,135,124,241,376,1780065898066,0,0,0,0,0
28081,13,500,271,229,0,271,1780065900081,0,0,0,0,0
30094,14,500,186,166,148,334,1780065902094,0,0,0,0,0
32068,15,500,242,258,0,242,1780065904068,0,0,0,0,0
34067,16,500,173,168,159,332,1780065906067,0,0,0,0,0
36121,17,500,208,250,42,250,1780065908121,0,0,0,0,0
38102,18,500,179,179,142,321,1780065910102,0,0,0,0,0
40085,19,500,220,228,52,272,1780065912085,0,0,0,0,0
42095,20,500,270,230,0,270,1780065914095,0,0,0,0,0
44087,21,500,249,196,55,304,1780065916087,0,0,0,0,0
46107,22,440,215,225,0,215,1780065918107,60,0,0,0,0
48094,23,200,112,81,7,119,1780065920094,0,300,0,0,0
50103,24,288,154,134,0,154,1780065922103,0,152,60,0,0
52113,25,500,273,218,9,282,1780065924113,0,0,0,0,0
54081,26,500,328,172,0,328,1780065926081,0,0,0,0,0
56084,27,500,293,192,15,308,1780065928084,0,0,0,0,0
58080,28,500,274,112,114,388,1780065930080,0,0,0,0,0
60128,29,500,142,101,257,399,1780065932128,0,0,0,0,0
62180,30,500,241,101,158,399,1780065934180,0,0,0,0,0
64140,31,500,55,22,423,478,1780065936140,0,0,0,0,0
66075,32,500,48,28,424,472,1780065938075,0,0,0,0,0
68050,33,500,0,0,500,500,1780065940050,0,0,0,0,0
70062,34,404,0,0,404,404,1780065942062,0,0,0,0,0
72006,35,0,0,0,0,0,1780065944006,0,0,0,0,0
74012,36,0,0,0,0,0,1780065946012,0,0,0,0,0
76008,37,0,0,0,0,0,1780065948008,0,0,0,0,0
78020,38,0,0,0,0,0,1780065950020,0,0,0,0,0
80020,39,0,0,0,0,0,1780065952020,0,0,0,0,0
