timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4124,1,500,315,185,0,315,1780065876124,0,0,0,0,0
6018,2,197,0,1,196,196,1780065878018,0,0,0,0,0
8093,3,472,323,149,0,323,1780065880093,0,0,0,0,0
10060,4,500,291,209,0,291,1780065882060,0,0,0,0,0
12048,5,500,100,77,323,423,1780065884048,0,0,0,0,0
14062,6,500,131,142,227,358,1780065886062,0,0,0,0,0
16055,7,500,212,182,106,318,1780065888055,0,0,0,0,0
18073,8,500,168,189,143,311,1780065890073,0,0,0,0,0
20063,9,500,149,180,171,320,1780065892063,0,0,0,0,0
22070,10,500,246,241,13,259,1780065894070,0,0,0,0,0
24062,11,500,155,148,197,352,1780065896062,0,0,0,0,0
26062,12,500,180,159,161,341,1780065898062,0,0,0,0,0
28068,13,500,164,184,152,316,1780065900068,0,0,0,0,0
30089,14,500,33,42,425,458,1780065902089,0,0,0,0,0
32043,15,279,12,10,257,269,1780065904043,0,0,0,0,0
34049,16,330,17,55,258,275,1780065906049,0,0,0,0,0
36045,17,178,3,7,168,171,1780065908045,0,0,0,0,0
38045,18,264,4,10,250,254,1780065910045,0,0,0,0,0
40040,19,210,14,17,179,193,1780065912040,0,0,0,0,0
42082,20,500,159,174,167,326,1780065914082,0,0,0,0,0
44093,21,500,242,197,61,303,1780065916093,0,0,0,0,0
46086,22,200,80,62,58,138,1780065918086,300,0,0,0,0
48082,23,288,156,132,0,156,1780065920082,152,60,0,0,183
50102,24,500,164,172,164,328,1780065922102,0,0,0,0,196
52126,25,200,96,87,17,113,1780065924126,0,0,300,0,15
54097,26,348,145,203,0,145,1780065926097,0,0,152,0,0
56087,27,500,102,107,291,393,1780065928087,0,0,0,0,0
58099,28,500,222,278,0,222,1780065930099,0,0,0,0,0
60159,29,500,208,227,65,273,1780065932159,0,0,0,0,0
62189,30,500,183,183,134,317,1780065934189,0,0,0,0,0
64153,31,500,229,271,0,229,1780065936153,0,0,0,0,0
66085,32,500,53,47,400,453,1780065938085,0,0,0,0,0
68054,33,500,0,0,500,500,1780065940054,0,0,0,0,0
70021,34,46,0,0,46,46,1780065942021,0,0,0,0,0
72019,35,0,0,0,0,0,1780065944019,0,0,0,0,0
74017,36,0,0,0,0,0,1780065946017,0,0,0,0,0
76008,37,0,0,0,0,0,1780065948008,0,0,0,0,0
78020,38,0,0,0,0,0,1780065950020,0,0,0,0,0
80019,39,0,0,0,0,0,1780065952019,0,0,0,0,0
