blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,500,0,0,0,0,0
2,175,0,0,0,0,0
3,500,0,0,0,0,0
4,500,0,0,0,0,0
5,500,0,0,0,0,0
6,500,0,0,0,0,0
7,500,0,0,0,0,0
8,500,0,4994,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,0,0,0,0
17,500,0,0,0,0,0
18,500,0,0,0,0,0
19,500,0,0,0,0,0
20,500,0,0,0,0,0
21,500,0,544,0,0,0
22,200,300,5308,0,0,0
23,200,300,11993,0,0,0
24,200,300,20099,1,554,554
25,281,219,25895,219,0,0
26,201,299,40122,299,1519,1519
27,500,0,0,0,0,0
28,500,0,0,0,0,0
29,256,0,0,0,0,0
30,181,0,0,0,0,0
31,203,0,0,0,0,0
32,233,0,0,0,0,0
33,222,0,0,0,0,0
34,256,0,0,0,0,0
35,97,0,0,0,0,0
36,249,0,31,0,0,0
37,75,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,505,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
