block,queueLen
1,31
2,0
3,28
4,344
5,572
6,785
7,769
8,539
9,483
10,576
11,554
12,712
13,1040
14,1204
15,1361
16,1488
17,1628
18,1432
19,1257
20,1418
21,1215
22,1217
23,1131
24,982
25,781
26,657
27,312
28,13
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
