height,block,tx,mig1,mig2,ann,ns
1,92195,81428,0,0,0,0
2,17025,15577,0,0,0,0
3,69266,58507,0,0,0,0
4,72013,61653,0,0,0,0
5,61886,55129,0,0,0,0
6,73983,61934,0,0,0,0
7,80033,69882,0,0,0,0
8,74453,62358,0,0,0,0
9,55416,45317,0,0,0,0
10,72738,59216,0,0,0,0
11,79138,62972,0,0,0,0
12,74548,55022,0,0,0,0
13,77971,54064,0,0,0,0
14,78174,68482,0,0,0,0
15,95533,82111,0,0,0,0
16,75862,69048,0,0,0,0
17,86938,74572,0,0,0,0
18,53920,43743,0,0,0,0
19,65095,54066,0,0,0,0
20,84506,71166,0,0,0,0
21,60367,49324,0,0,0,0
22,51532,21292,20233,0,0,0
23,51402,23600,14032,5014,0,0
24,84533,35681,0,29961,43,0
25,50001,25000,0,0,15111,0
26,58975,20832,0,0,18581,0
27,62434,51608,0,0,0,0
28,67600,50058,0,0,0,0
29,30006,20174,0,0,0,0
30,18729,13733,0,0,0,0
31,30607,24591,0,0,0,0
32,30160,25008,0,0,0,0
33,30108,17293,0,0,0,0
34,30813,24234,0,0,0,0
35,11531,6374,0,0,0,0
36,30487,20378,0,0,0,0
37,9937,6989,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
