timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4155,1,500,274,226,0,274,1780065763155,0,0,0,0,0
6051,2,175,18,13,144,162,1780065765051,0,0,0,0,0
8111,3,500,284,216,0,284,1780065767111,0,0,0,0,0
10102,4,500,267,233,0,267,1780065769102,0,0,0,0,0
12101,5,500,156,151,193,349,1780065771101,0,0,0,0,0
14117,6,500,242,239,19,261,1780065773117,0,0,0,0,0
16108,7,500,202,226,72,274,1780065775108,0,0,0,0,0
18110,8,500,214,214,72,286,1780065777110,0,0,0,0,0
20101,9,500,144,105,251,395,1780065779101,0,0,0,0,0
22106,10,500,129,166,205,334,1780065781106,0,0,0,0,0
24096,11,500,213,177,110,323,1780065783096,0,0,0,0,0
26087,12,500,137,140,223,360,1780065785087,0,0,0,0,0
28096,13,500,239,207,54,293,1780065787096,0,0,0,0,0
30120,14,500,191,202,107,298,1780065789120,0,0,0,0,0
32090,15,500,173,172,155,328,1780065791090,0,0,0,0,0
34092,16,500,219,241,40,259,1780065793092,0,0,0,0,0
36096,17,500,169,156,175,344,1780065795096,0,0,0,0,0
38085,18,500,164,175,161,325,1780065797085,0,0,0,0,0
40090,19,500,178,163,159,337,1780065799090,0,0,0,0,0
42106,20,500,217,260,23,240,1780065801106,0,0,0,0,0
44104,21,500,108,126,266,374,1780065803104,0,0,0,0,0
46084,22,200,49,50,101,150,1780065805084,300,0,0,0,0
48082,23,200,128,38,34,162,1780065807082,219,81,0,0,25
50108,24,200,137,63,0,137,1780065809108,0,299,1,0,27
52095,25,281,154,86,41,195,1780065811095,0,0,219,0,184
54168,26,201,0,12,189,189,1780065813168,0,0,299,0,0
56087,27,500,41,65,394,435,1780065815087,0,0,0,0,0
58088,28,500,8,1,491,499,1780065817088,0,0,0,0,0
60043,29,256,0,0,256,256,1780065819043,0,0,0,0,0
62053,30,181,0,0,181,181,1780065821053,0,0,0,0,0
64048,31,203,0,0,203,203,1780065823048,0,0,0,0,0
66059,32,233,0,0,233,233,1780065825059,0,0,0,0,0
68039,33,222,0,0,222,222,1780065827039,0,0,0,0,0
70056,34,256,0,0,256,256,1780065829056,0,0,0,0,0
72041,35,97,0,0,97,97,1780065831041,0,0,0,0,0
74070,36,249,0,0,249,249,1780065833070,0,0,0,0,0
76022,37,75,0,0,75,75,1780065835022,0,0,0,0,0
78015,38,0,0,0,0,0,1780065837015,0,0,0,0,0
80009,39,0,0,0,0,0,1780065839009,0,0,0,0,0
82022,40,0,0,0,0,0,1780065841022,0,0,0,0,0
84009,41,0,0,0,0,0,1780065843009,0,0,0,0,0
86024,42,0,0,0,0,0,1780065845024,0,0,0,0,0
