height,block,tx,mig1,mig2,ann,ns
1,14560,9577,0,0,0,0
2,19212,13171,0,0,0,0
3,25164,21145,0,0,0,0
4,39992,34990,0,0,0,0
5,39723,34725,0,0,0,0
6,45045,40105,0,0,0,0
7,41223,38162,0,0,0,0
8,35683,30682,0,0,0,0
9,45014,35007,0,0,0,0
10,50406,42648,0,0,0,0
11,42588,30002,0,0,0,0
12,35247,27770,0,0,0,0
13,54550,42317,0,0,0,0
14,43534,33535,0,0,0,0
15,59460,50846,0,0,0,0
16,48231,43094,0,0,0,0
17,47677,42589,0,0,0,0
18,46400,40713,0,0,0,0
19,34705,29603,0,0,0,0
20,56251,46250,0,0,0,0
21,40886,32616,0,0,0,0
22,36392,29780,1011,0,0,0
23,43080,10568,0,19976,0,0
24,34996,15003,0,9997,0,0
25,37579,22232,0,0,0,3281
26,35070,24996,0,0,0,0
27,40260,33032,0,0,0,0
28,43044,32483,0,0,0,0
29,33223,24610,0,0,0,0
30,28105,17464,0,0,0,0
31,20179,15006,0,0,0,0
32,27086,21015,0,0,0,0
33,32381,24046,0,0,0,0
34,30185,25019,0,0,0,0
35,25007,15001,0,0,0,0
36,13522,8570,0,0,0,0
37,523,0,19,0,0,0
38,65,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,505,0,0,0,0,0
