height,block,tx,mig1,mig2,ann,ns
1,96581,88354,0,0,0,0
2,26221,24534,0,0,0,0
3,39198,34206,0,0,0,0
4,39992,34992,0,0,0,0
5,30405,21646,0,0,0,0
6,24987,19982,0,0,0,0
7,35806,25807,0,0,0,0
8,31725,22716,0,0,0,0
9,40006,35007,0,0,0,0
10,47650,37725,0,0,0,0
11,34986,29987,0,0,0,0
12,35833,31284,0,0,0,0
13,53659,39286,0,0,0,0
14,48904,38534,0,0,0,0
15,50337,41797,0,0,0,0
16,33005,26658,0,0,0,0
17,32590,27762,0,0,0,0
18,37650,32147,0,0,0,0
19,38672,36054,0,0,0,0
20,37046,27029,0,0,0,0
21,34668,27915,0,0,0,0
22,42441,21859,11929,0,0,0
23,34214,18973,8919,1601,0,0
24,25002,5002,0,0,10001,0
25,36674,26738,0,0,5123,0
26,44585,31382,0,0,0,0
27,53507,47281,0,0,0,0
28,46646,40442,0,0,0,0
29,81282,71270,0,0,0,0
30,65376,60377,0,0,0,0
31,59981,54987,0,0,0,0
32,62755,55281,0,0,0,0
33,99600,89605,0,0,0,0
34,68586,60449,0,0,0,0
35,44613,39611,0,0,0,0
36,0,0,0,0,0,0
37,504,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
