blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,100,0,0,0,0,0
2,252,0,0,0,0,0
3,314,0,0,0,0,0
4,500,0,0,0,0,0
5,500,0,0,0,0,0
6,500,0,0,0,0,0
7,500,0,0,0,0,0
8,500,0,510,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,14,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,0,0,0,0
17,500,0,0,0,0,0
18,500,0,0,0,0,0
19,500,0,0,0,0,0
20,500,0,0,0,0,0
21,500,0,0,0,0,0
22,469,31,0,0,0,0
23,200,300,7779,0,0,0
24,300,200,10244,31,0,0
25,402,98,8127,0,0,0
26,500,0,0,0,0,0
27,500,0,0,0,0,0
28,500,0,0,0,0,0
29,289,0,0,0,0,0
30,217,0,0,0,0,0
31,180,0,0,0,0,0
32,241,0,0,0,0,0
33,222,0,0,0,0,0
34,251,0,0,0,0,0
35,236,0,0,0,0,0
36,120,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,577,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,505,0,0,0
