block,queueLen
1,0
2,0
3,0
4,275
5,587
6,781
7,991
8,1136
9,1163
10,868
11,1159
12,1458
13,1667
14,1855
15,1955
16,2245
17,2321
18,1977
19,2060
20,1806
21,1476
22,1190
23,1111
24,969
25,829
26,677
27,409
28,136
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
