height,block,tx,mig1,mig2,ann,ns
1,32345,27878,0,0,0,0
2,29395,21614,0,0,0,0
3,34752,28135,0,0,0,0
4,57984,44981,0,0,0,0
5,61165,48164,0,0,0,0
6,44722,33699,0,0,0,0
7,65860,53349,0,0,0,0
8,64994,51990,0,0,0,0
9,61581,48632,0,0,0,0
10,79336,71567,0,0,0,0
11,64926,53426,0,0,0,0
12,62737,49721,0,0,0,0
13,69227,51998,0,0,0,0
14,72760,59764,0,0,0,0
15,79012,68285,0,0,0,0
16,69496,54534,0,0,0,0
17,98295,88292,0,0,0,0
18,99428,78929,0,0,0,0
19,74244,57725,0,0,0,0
20,73640,67694,0,0,0,0
21,88516,76525,0,0,0,0
22,52536,20051,20029,0,0,0
23,62485,27338,22659,0,0,0
24,74521,25493,5001,28006,0,0
25,49460,15760,0,12932,6776,0
26,73238,32100,0,0,26933,0
27,69936,38796,0,0,19600,0
28,81716,72707,0,0,0,0
29,90514,77237,0,0,0,0
30,66915,51746,0,0,0,0
31,32237,21233,0,0,0,0
32,10691,7578,0,0,0,0
33,14670,10653,0,0,0,0
34,12140,7685,0,0,0,0
35,17259,9723,0,0,0,0
36,7567,4946,0,0,0,0
37,1084,1084,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,40,0,0,0,0,0
42,0,0,0,0,0,0
