blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,192,0,0,0,0,0
2,289,0,0,0,0,0
3,210,0,0,0,0,0
4,405,0,506,0,0,0
5,480,0,1000,0,0,0
6,384,0,0,0,0,0
7,406,0,0,0,0,0
8,500,0,522,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,0,0,0,0
17,500,0,0,0,0,0
18,500,0,0,0,0,0
19,500,0,0,0,0,0
20,500,0,0,0,0,0
21,500,0,0,0,0,0
22,200,300,7528,0,0,0
23,200,300,6695,0,0,0
24,200,300,20768,0,0,0
25,200,300,29626,124,525,525
26,200,300,29343,300,528,1058
27,276,224,24030,224,959,959
28,500,0,0,0,0,0
29,500,0,0,0,0,0
30,500,0,0,0,0,0
31,285,0,16,0,0,0
32,186,0,0,0,0,0
33,168,0,0,0,0,0
34,133,0,0,0,0,0
35,144,0,0,0,0,0
36,79,0,0,0,0,0
37,11,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
