timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4073,1,192,115,77,0,115,1780066094073,0,0,0,0,0
6055,2,289,0,0,289,289,1780066096055,0,0,0,0,0
8058,3,210,79,74,57,136,1780066098058,0,0,0,0,0
10086,4,405,86,59,260,346,1780066100086,0,0,0,0,0
12086,5,480,113,127,240,353,1780066102086,0,0,0,0,0
14076,6,384,78,64,242,320,1780066104076,0,0,0,0,0
16088,7,406,102,63,241,343,1780066106088,0,0,0,0,0
18112,8,500,187,176,137,324,1780066108112,0,0,0,0,0
20079,9,500,127,93,280,407,1780066110079,0,0,0,0,0
22109,10,500,238,226,36,274,1780066112109,0,0,0,0,0
24090,11,500,143,143,214,357,1780066114090,0,0,0,0,0
26094,12,500,197,159,144,341,1780066116094,0,0,0,0,0
28090,13,500,130,137,233,363,1780066118090,0,0,0,0,0
30096,14,500,127,106,267,394,1780066120096,0,0,0,0,0
32096,15,500,153,111,236,389,1780066122096,0,0,0,0,0
34085,16,500,105,87,308,413,1780066124085,0,0,0,0,0
36103,17,500,248,241,11,259,1780066126103,0,0,0,0,0
38108,18,500,161,163,176,337,1780066128108,0,0,0,0,0
40083,19,500,123,103,274,397,1780066130083,0,0,0,0,0
42095,20,500,253,247,0,253,1780066132095,0,0,0,0,0
44097,21,500,154,171,175,329,1780066134097,0,0,0,0,0
46091,22,200,113,87,0,113,1780066136091,300,0,0,0,0
48091,23,200,95,105,0,95,1780066138091,300,0,0,0,1
50119,24,200,122,27,51,173,1780066140119,48,252,0,0,187
52127,25,200,82,50,68,150,1780066142127,0,176,124,0,269
54137,26,200,151,49,0,151,1780066144137,0,0,300,0,7
56104,27,276,56,33,187,243,1780066146104,0,0,224,0,0
58095,28,500,245,206,49,294,1780066148095,0,0,0,0,0
60107,29,500,210,113,177,387,1780066150107,0,0,0,0,0
62179,30,500,21,1,478,499,1780066152179,0,0,0,0,0
64040,31,285,0,0,285,285,1780066154040,0,0,0,0,0
66020,32,186,0,0,186,186,1780066156020,0,0,0,0,0
68029,33,168,0,0,168,168,1780066158029,0,0,0,0,0
70034,34,133,0,0,133,133,1780066160034,0,0,0,0,0
72036,35,144,0,0,144,144,1780066162036,0,0,0,0,0
74011,36,79,0,0,79,79,1780066164011,0,0,0,0,0
76016,37,11,0,0,11,11,1780066166016,0,0,0,0,0
78024,38,0,0,0,0,0,1780066168024,0,0,0,0,0
80007,39,0,0,0,0,0,1780066170007,0,0,0,0,0
82017,40,0,0,0,0,0,1780066172017,0,0,0,0,0
84014,41,0,0,0,0,0,1780066174014,0,0,0,0,0
86013,42,0,0,0,0,0,1780066176013,0,0,0,0,0
