height,block,tx,mig1,mig2,ann,ns
1,78809,72789,0,0,0,0
2,25365,20581,0,0,0,0
3,74055,66095,0,0,0,0
4,78027,68061,0,0,0,0
5,64389,52164,0,0,0,0
6,73754,62751,0,0,0,0
7,82858,73336,0,0,0,0
8,73091,61087,0,0,0,0
9,69750,55966,0,0,0,0
10,70039,62037,0,0,0,0
11,68131,58295,0,0,0,0
12,69742,54889,0,0,0,0
13,66012,51027,0,0,0,0
14,76632,61384,0,0,0,0
15,105167,91168,0,0,0,0
16,74591,62602,0,0,0,0
17,73769,66745,0,0,0,0
18,74889,58879,0,0,0,0
19,79247,67243,0,0,0,0
20,75775,67992,0,0,0,0
21,84994,70972,0,0,0,0
22,50077,21048,15513,0,0,0
23,79296,31828,14722,18743,0,0
24,89524,25782,0,43738,0,0
25,66216,36925,0,16553,0,0
26,47572,22567,0,0,13003,0
27,84970,54816,0,0,16147,0
28,73347,66530,0,0,0,0
29,94146,82754,0,0,0,0
30,106782,98779,0,0,0,0
31,84963,71960,0,0,0,0
32,37497,32886,0,0,0,0
33,50485,40564,0,0,0,0
34,57282,47283,0,0,0,0
35,71604,56078,0,0,0,0
36,41785,30781,0,0,0,0
37,0,0,0,0,0,0
38,23,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
